source_doc_id,cited_doc_id,type_of_reference,details
R1-07948,38.214,Technical Specification,NR Physical layer procedures for data
R1-2405014,38.331,Technical Specification,NR Radio Resource Control protocol specification
R1-2404131,RAN1#116bis Chair note,Previous meeting documentation,Discussed initial solutions for gap skipping mechanisms
R1-2402027,38.843,Technical Report,TR 38.843 section 7.2.1.3.2 on UE data collection mechanisms.
R1-2406058,Chair’s note of RAN1#116bis,Meeting Summary,Agreements on model identification options and prioritization.
R1-2401249,TR 38.858,Technical Report,Rel-18 SBFD study conclusions
R1-2406330,38.213,Normative Reference,Referenced for PUCCH resource configuration procedures
R1-2403184,RP-234039,Work Item Description,WID for AI/ML in NR Air Interface
R1-2406876,38.213,Technical Specification,NR Physical Layer Procedures for Control
R1-2402821,38.213,Technical Specification,NR Physical layer procedures for control
R1-2404737,TR38.843,Technical Report,Study on AI/ML for NR air interface
R1-2400571,38.840,Technical Report,R16 UE power saving study baseline
R1-2409000,TR38.901,Technical Report,Base 3GPP channel model document being validated
R1-2401247,38.213,Technical Specification,Physical layer procedures for control (Timing Advance)
R1-2400518,R1-2312705,RAN1 Contribution,Corrected UE features list for Rel-18 NR after RAN1#115.
R1-24abcde,R1-2409350,Contribution,RAN4 LS on SSB relation in On-demand SSB and SSB adaptation
R1-2409694,RP-234018,Study Item,New SID on channel modeling for 7-24GHz
R1-2400100,RP-234007,Work Item Description,NR MIMO Phase 5 work item justification
R1-2403962,RP-234018,Study Item Description,New SID on channel modeling for 7-24 GHz
R1-2403990,R1-2403834,LS Input,RAN4 request for RAN1 to evaluate 3T6R/4T6R configurations
R1-2409632,RP-2401614,Work Item,Revised WI on evolution of NR duplex operation
R1-24xxxxx,RP-242399,Scope Reference,Defines scope of the Work Item (WI) for AI/ML in NR
R1-2401080,TR 38.821,Technical Report,Solutions for NR to support non-terrestrial networks
R1-2407254,R1-2404304,Measurement Contribution,Apple's penetration loss measurements for wood/concrete
R1-2404091,38.213,Technical Specification,Modified Clause 10.1 for PDCCH QCL handling
R1-2408311,R1-2407565,LS,Liaison Statement on timeline for OD-SSB operation
R1-2406786,RAN1#116-bis,Previous Agreement,Chairman notes from prior meeting establishing baseline agreements
R1-2407028,TR 38.858,Technical Report,Study on Evolution of NR Duplex Operation
R1-2403442,R1-2402613,Measurement Data,Ericsson's pathloss measurements up to 37 GHz
R1-2404218,TS 38.214,Normative,Physical layer procedures for data referenced for resource allocation.
R1-2409955,arXiv:2109.10054,Academic Paper,Near-field wideband beamforming for large antenna arrays
R1-2400908,RP-234039,Work Item Description,New WID on AI/ML for NR Air Interface
R1-2406165,38.214,Technical Specification,Defines SRS frequency hopping configurations for positioning.
R1-2406421,TR38.848,Technical Report,Study on Ambient IoT in RAN
R1-2400180,TS38.306,Technical Specification,Specifies UE capabilities for SSB-less SCell operation.
R1-2407267,RP-234039,WID,RP-234039 (WID): Rel-19 work item on AI/ML for NR Air Interface.
R1-2406698,TR 38.901,Technical Report,Base channel model for 0.5-100 GHz frequencies
R1-2405103,38.212,Citation,Specifies TRS availability indication field.
R1-2409275,38.211,Technical Specification,Physical layer procedures being modified
R1-2404695,RP-234077,Work Item,New WID: Non-Terrestrial Networks (NTN) for IoT Phase 3
R1-2407923,R1-2407052,Previous Contribution,Earlier analysis on IoT-NTN uplink capacity
R1-2401768,TR 22.837,Technical Report,Sensing requirements and scenarios
R1-2405468,R1-2401635,Contribution,Qualcomm's proposal on gNB-gNB CLI measurement
R1-2408485,RP-234018,SID,New SID: Study on channel modelling enhancements for 7-24 GHz for NR
R1-2404159,38.213,Technical Specification,Base specification for physical layer procedures
R1-2410881,TR 38.901,Technical Report,3GPP channel model baseline for adaptations
R1-2402947,R1-2400735,Citation,Samsung’s considerations for Ambient IoT architectures.
R1-2404656,TR 38.843,Technical Report,Captures Rel-18 AI/ML SI outcomes for air interface
R1-2409383,NR_MIMO_Ph5-Core,Work Item,Rel-19 MIMO Phase 5 Core Work Item
38.213 CR - rev,38.212,Technical Specification,Referenced for SCI format definitions
R1-240XXXX,R1-2407804,Change Request,ZTE's proposed CR on multicast TDRA configuration
R1-2405234,3GPP TR 38.843,Technical Report,Rel-18 study on AI/ML for air interface
R1-2407984,R1-2407412,Change Request,CR clarifying SSB-RO mapping for inter-cell mTRP
R1-2406350,38.214,Technical Specification,3GPP TS 38.214 (Release 18) - Physical layer procedures for data.
R1-2408701,TR 38.848,Technical Requirements,A-IoT functionality specifications
R1-2401045,RP-234007,Working Item Description,NR MIMO Phase 5 Work Item Description from Dec 2023
R1-2401429,R4-2321976,Liaison Statement,DMRS bundling capability differentiation for GSO/NGSO
R1-2402272,38.101-1,Citation,FR1 power requirements
R1-2405986,RP-241614,Revised WID,Evolution of NR duplex operation: Sub-band full duplex (SBFD)
R1-2410308,R2-2409409,Liaison Statement,LS on carrierBandwidth configuration from RAN2
R1-2405204,38.331,Citation,References parameter name changes from 'maxRank-n8-r18' to 'maxRank-v1810'.
R1-2403489,RP-213599,Rel-19 Work Item,Approved work item for AI/ML in NR air interface
R1-2407330,R1-2405811,Contribution,Discussion of on-demand SSB SCell operation by Futurewei
R1-2408913,R1-2407605,Liaison Statement,RAN2 request for clarification on spatial relation RS validity
R1-2401687,R1-2400951,Background document,Original CR proposing SSB report dropping behavior
R1-2400883,RP-234056,Work Item,Rel-19 LP-WUS Work Item Description.
R1-2401121,RP-234058,Study Item Description,Approved SID for Ambient IoT solutions in NR
R1-2402328,R1-2401735,Contribution,Link budget template for A-IoT evaluation.
R1-2400241,RP-234035,Work Item,New WID on Evolution of NR duplex operation
R1-2400825,R1-2312723,Citation,Draft CR for maintenance of NR coverage enhancements
R1-2405906,RAN1#117 Report,Meeting Report,Discussions on PL offset indication alternatives
R1-2409282,NR_Mob_Ph4-Core,Work Item,Release 19 work item for NR mobility enhancements
R1-2405231,38.306,Technical Specification,UE radio access capabilities specification
R1-2409039,RP-242415,Work Item Description,Approved WI on Introduction of IoT-NTN TDD mode
R1-2410300,R1-2406296,Contribution,Xiaomi's proposal for RRM delta factor between LR/MR bands
R1-2410242,TS 38.133,Technical Specification,Specifies NR requirements for radio resource management.
R1-2401344,38.213,Technical Specification,Target for parameter name correction in UE UCI reporting procedures.
R1-2409638,R1-2403776,Previous Agreement,Frame structure alignment agreements from RAN1#116bis
R1-2403332,RP-234035,Work Item,Rel-19 Work Item on NR duplex evolution approved at RAN#102
R1-2401228,RP-234035,Citation,New WID on Evolution of NR duplex operation: Sub-band full duplex (SBFD)
R1-2400915,TR 38.843,Technical Report,Contains Rel-18 AI/ML CSI prediction performance evaluations
R1-2401807,R1-2400085,Contribution,Nokia's analysis on CORESET0 utilization issues
R1-2400806,RP-234065,Work Item Dependency,References New WID on network energy savings enhancements
R1-24xxxxx,RP-242399,Work Item,Detailed scope of AI/ML for NR Air Interface WI
R1-2405228,TS 38.214,Technical Specification,Primary document being modified by this CR (Clause 6.1.6)
R1-2408323,TR 38.811,Technical Report,Study on NR support for non-terrestrial networks.
R1-2400192,TS38.212,Technical Specification,Specifies DCI format structures for PDCCH orders.
R1-2406345,TS 38.213,Technical Specification,Affected specification for NR physical layer procedures
R1-2410052,R1-2409171,Previous Meeting Summary,Summary of model identification discussions from RAN1#118bis
R1-2405454,R1-2403959,Contribution,Huawei/HiSilicon contribution on remaining Rel-18 positioning issues
R1-2408345,R1-2407559,Liaison Statement,LS to RAN2/RAN4 about band support considerations
R1-2404440,RP-234056,Work Item Description,Rel-19 LP-WUS Work Item approval at RAN#102
R1-2405659,RP-240801,WID,Revised Work Item Description for LP-WUS/WUR
R1-2403350,38.212,Normative Reference,SS/PBCH block index field definitions for PDCCH orders.
R1-2402365,R1-2401959,RAN4 Liaison,Feedback on SRS/PRS bandwidth aggregation alignment with CA capabilities.
R1-2406632,38.214,Technical Specification,Modified clauses 5.2.1.1 and 5.2.1.6 for CSI capability handling
R1-2403205,R1-2403203,Companion Paper,LP-WUS and LP-SS design discussion
R1-2409340,RP-242394,Technical Report,Scope of NR MIMO Phase 5 WI
R1-2404723,RP-234069,Related work,Study on channel modelling for ISAC in NR
R1-2405198,38.213,Technical Specification,NR Physical layer procedures for control (Correct UTO-UCI procedure)
R1-2408679,RP-241824,Revised WID,Updated LP-WUS scope including FR2 support
R1-2403488,R1-2401972,Contribution,Ericsson's proposal on Ambient IoT physical layer design
R1-2405137,R1-2403171,Related Work,Previous maintenance proposal on Rel-18 multicarrier enhancements
R1-2410028,R1-2409304,Meeting Document,FL summary on channel aspects from RAN1#118bis
R1-2403996,TR 38.901,Technical Report,3GPP channel model specification for 0.5-100 GHz frequencies
R1-2405769,38.104,Technical Specification,Base Station radio transmission requirements
R1-2407738,38.321,Technical Specification,MAC protocol specification
R1-2402547,TR 38.869,Technical Report,Low-power Wake-up Signal/Receiver study (v18.0.0)
R1-2407208,RP-241667,WID Specification,Revised WID on NR NTN enhancements endorsed for Release 19
R1-2409394,TR38.901,Technical Report,3GPP channel model baseline for ISAC extensions
R1-2408171,R1-2407590,Response Target,Original LS questioning TA-Common implementation in regenerative scenarios
R1-2400644,RP-234069,Work Item,Initial ISAC study item description
R1-2407965,38.214,Technical Specification,RIV-based subband configuration mechanism
R1-2406990,38.213,Technical Specification,NR Physical layer procedures for control
R1-2408025,38.214,Technical Specification,Specifies NR physical layer data transmission procedures.
R1-2402896,TR 38.901,Channel Model,Study on channel model for 0.5-100 GHz frequencies
R1-2400354,R1-2312569,Citation,RAN1 UE features list for Rel-18 LTE
R1-2403150,R1-2401940,LS,Source LS with questions on RAN1 parameter list
R1-2409554,R1-2409304,Previous Agreement,Final summary on downlink/uplink channel aspects from RAN1#118bis
R1-2400889,TS 38.133,Technical Specification,RRM requirements including MG configurations
R1-2400676,R1-2312574,Liaison Statement,LS on Rel-18 RAN1 UE features list for NR after RAN1#115.
R1-2404491,R1-2403741,Contribution,Summary of AI/ML positioning discussions from RAN1#116bis.
R1-2402975,TS 38.213,Technical Specification,Defines SSB periodicity assumptions for legacy UEs.
R1-2405400,R1-2208224,Previous Agreement,Rel-17 agreement on mTRP PHR configurations.
R1-2404335,RAN1#116bis Chair Notes,Meeting Agreement,Previous agreements on measurement gap handling
R1-2401795,TR 38.769,Technical Report,Study document for Ambient IoT solutions
R1-2409934,RP-242394,Work Item Description,NR MIMO Phase 5 WID revision
R1-2408940,RP-234007,Work Item Document,New WID: NR MIMO Phase 5 approved at RAN #102
R1-2406641,RP-234039,Work Item Description,Rel-19 WID on AI/ML for NR Air Interface objectives.
R1-2400757,RP-234039,Work Item,New WID on AI/ML for NR Air Interface approved at RAN#102.
R1-2410530,RAN1 #118-bis,Citation,Previous conclusion on SSSG/BWP interaction
R1-2400812,TR 38.848,Technical Report,"Study on Ambient IoT in RAN, foundational for the current proposal."
R1-2405737,R1-2401842,Contribution,Summary of SRS transmission occasion discussions from RAN1#116.
R1-2404659,RP-234039,Work Item Description,New WID on AI/ML for NR Air Interface approved at RAN #102
R1-2403047,3GPP TR 38.864,Technical Report,Rel-18 Study on Network Energy Savings
R1-2408829,3GPP TR 38.858,Technical Report,Study on Evolution of NR Duplex Operation
R1-2409426,RP-234057,Work Item Definition,Rel-19 WID for XR Phase 3 specifying scheduling enhancement objectives
R1-2406111,RP-241624,Revised WID,"Rel-19 IoT-NTN Phase 3 objectives, including UL capacity enhancements."
R1-2408086,RP-241614,Work Item Description,Revised WID for NR duplex evolution
R1-2410745,TS37.213,Technical Specification,NR; Physical layer procedures for shared spectrum channel access
R1-2408482,38.901,Technical Report,Channel model for frequencies from 0.5 to 100 GHz
R1-24010663,R1-2410666,Citation,Updated RAN1 UE features list for Rel-18 NR
R1-2402825,R1-2401635,Contribution,Proposal tables for CLI handling schemes
R1-2401543,R1-2400977,Contribution,Ericsson's proposals on UL capacity enhancement
R1-2407199,R1-2405932,Contribution,ZTE discussion on UE features
R1-2402765,TR 38.843,Technical Report,Rel-18 AI/ML Study Item outcomes
R1-2407246,38.213,Technical Specification,3GPP NR Physical Layer Procedures
R1-2404925,RP-234018,SID,New Study Item on channel modeling enhancements for 7–24 GHz.
R1-2405624,38.306,Technical Specification,Base specification being modified by this CR (v18.0)
R1-2400090,RP-224058,Study Item Description,Approved study item on Ambient IoT solutions in NR
R1-2404331,[6],External Research,Channel sparsity characteristics analysis
R1-2400558,RP-234035,Normative,Rel-19 SBFD Work Item Description
R1-2402186,R1-2401851,Feature Lead Summary,Summary of previous RAN1#116 meeting discussions on Ambient IoT
R1-2402141,RP-234007,Work Item Description,NR MIMO Phase 5 WI motivation and objectives.
R1-2408556,FAA GPS Report,External Reference,GPS performance analysis supporting GNSS accuracy claims
R1-2405738,TS 38.104,Technical Specification,Base Station radio transmission requirements
R1-2400851,RP-232073,Meeting Report,Rel-19 MIMO/UL enhancement considerations
R1-2410187,38.214,Technical Specification,Physical layer procedures for data
R1-2403577,38.331,Specification Impact,New measurement parameters added to radio resource control specification
R1-2403718,R1-2402091,Contribution,InterDigital's channel model extension proposals
R1-2404796,RP-234065,Work Item,New WID for network energy savings enhancements
R1-2404678,R1-2307422,Technical Contribution,Coverage analysis of sub-band non-overlapping full duplex
