agenda_id,release,topic,description
9.8,Rel-19,Study on channel modelling enhancements for 7-24GHz for NR,"Discussions covered validation of TR38.901 parameters, new suburban macrocell scenario definitions, UE antenna modeling, penetration loss updates, and near-field/spatial non-stationarity modeling."
9.4.2.4,Rel-19,Waveform characteristics for Ambient IoT carrier waves,"Study of carrier wave characteristics for D2R backscattering, including waveform selection, interference handling, and spectrum utilization in FDD bands"
7,Rel-17 and onwards,Physical layer procedures,Discussion on CSI reporting mechanisms and UCI multiplexing rules
9.11.5,Rel-19,Feature lead summary on IoT-NTN TDD mode,"Discussion of TDD frame structure parameters (N=9 baseline), DL/UL subframe configurations, synchronization impacts, and coexistence requirements with legacy satellite systems in 1.6GHz band"
9.3.2,Rel-19,Random access in SBFD symbols,Specification support for SBFD operation in random access procedures
9.5.1,Release 19,LP-WUS and LP-SS design,"Discussion on waveform candidates (OOK-1/OOK-4), Manchester coding, coverage enhancements, and overhead trade-offs for LP-WUS/LP-SS in NR."
9.1.1,Rel-19,AI/ML-based Beam Management,"Specification impacts for AI/ML-based beam management including NW/UE-side model training, inference, monitoring, and configuration enhancements."
8.10,Rel-18,Maintenance on Network verified UE location for NR NTN,"Discussion of remaining issues in Rel-18 NR NTN including subframe timing alignment, PRS sampling, timing quality metrics, TA reporting, and DRX timing"
9.11.3,Rel-19,Uplink capacity/throughput enhancement for NR-NTN,Discussion of OCC-based techniques for improving UL capacity in NTN deployments with handheld terminals.
9.5.1,Rel-19,On-demand SIB1 for idle/inactive mode UEs,"Discussion of procedures and signaling methods to enable on-demand SIB1 transmission for energy savings, including UL WUS triggering mechanisms, configuration provisioning, and inter-gNB coordination."
9.4.2.1,Rel-19,General aspects of physical layer design,"Discussion on waveform, modulation, coding, numerology, and bandwidth for A-IoT R2D/D2R links."
9.6.2,,LP-WUS operation in IDLE/INACTIVE mode,Discussion on power-efficient wake-up signal configuration and operation for idle/inactive UEs
9.4.2.2,Rel-19,Frame structure and timing aspects for Ambient IoT,"Study on solutions for Ambient IoT in NR, focusing on frame structure, synchronization, scheduling, and device capabilities."
6.1.4.2,,Transport block size determination,Discussion on PUSCH layer configuration and codeword mapping for >4 layers
9.13,Rel-19,Rel-19 TEI proposals,Discussion of two Technical Evolution Items for Release 19: HARQ process number enhancement and UE frequency hopping for positioning
9.11.5,3GPP Release 18,Discussion on IoT-NTN TDD mode,"Specification impacts analysis for IoT-NTN TDD mode including DL synchronization challenges, system information acquisition delays, RACH procedure latency, and guard period requirements."
9.11.2,Rel-19,Support of RedCap/eRedCap UEs in NTN,Enhancements for HD-FDD collision cases 3 (semi-static DL/UL) and 4 (dynamic DL/UL) through priority rules and TA reporting improvements
9.2.2,Rel-19,CSI Enhancements,Discussion on remaining issues for Rel-19 CSI enhancements including codebook improvements for large antenna arrays and CJT calibration mechanisms
7.1,NR Rel-15/16,Aperiodic triggering support for SRS carrier switching,"Discussions on specifications and UE behavior for aperiodic SRS carrier switching, including multi-DCI handling, available slots, and UE capabilities."
9.1.4.2,Rel-19,Discussion on other aspects for AI/ML for air interface,"Study framework aspects for AI/ML in NR air interface, including model identification, data collection mechanisms, and model transfer/delivery procedures."
9.4.2.1,Release 19,Discussion on general aspects of ambient IoT physical layer design,"Technical discussion on waveform design, modulation schemes (OOK/BPSK/MSK), channel coding, repetition methods, and interference mitigation for ambient IoT devices using backscatter communication."
9.11.1,Rel-19,Downlink Coverage Enhancement for NR NTN,"Discussion on SSB periodicity extension (40-640ms), beam footprint optimization, and link-level enhancements for PDCCH/PDSCH channels in NTN scenarios."
9.7.2,Rel-19,ISAC channel modelling,"Discussion on defining ISAC channel models for object detection/tracking across six sensing modes (TRP/UE monostatic/bistatic), frequencies 0.5-52.6 GHz, and scenarios including UAVs, humans, vehicles. Proposals cover LOS/NLOS modeling, RCS dependencies, validation approaches, and impact on communication performance."
9.8.2,3GPP Release 18,Channel model enhancements for 7-24GHz,Discussion on near-field propagation models and spatial non-stationarity characteristics for FR3 bands
9.11.1,Rel-18/19,NR-NTN Downlink Coverage Enhancement,Study system-level (beam hopping) and link-level (PDCCH/PDSCH enhancements) solutions to address satellite power constraints and improve downlink coverage for NTN.
8.12.6,Rel-18,UE Features for Rel-18 Topic-B,"Discussion on network energy savings, mobility enhancements, and NTN optimizations"
9.4.1.1,3GPP TSG RAN WG1 #118,A-IoT Evaluation Framework,Discussion of link level simulation methodologies and coverage evaluation parameters for Ambient IoT devices in 5G networks
9.7.2,Release 19,ISAC Channel Measurements and Modeling,"Discussion on extending GBSM for sensing capabilities, RCS modeling methodologies, and validation through field measurements in multiple scenarios"
5,Rel-17/18,LS on common TA in regenerative payload scenarios,"Discussion on whether negative TA-Common values are needed for regenerative payloads with onboard gNBs, considering legacy UE limitations and prior RAN1 agreements."
9.3.1,Rel-19,SBFD operation and procedures,"Discussion on semi-static SBFD subband configurations, UE behaviors, resource allocation enhancements, and collision handling mechanisms."
9.1.4.2,Rel-19,Other aspects of AI/ML framework,"Discussion on model identification, LCM procedures, data collection mechanisms, and model transfer/delivery for AI/ML use cases in NR."
9.1,Rel-18/Rel-19,AI/ML for NR Air Interface,"Discussions on specification support for beam management, positioning enhancement, CSI prediction/compression, and AI/ML model/data aspects."
9.1.1,Rel-18,Beam Management Specification Support,"Discussion of AI/ML integration proposals for beam management including reporting mechanisms, monitoring configurations, and quantization enhancements"
9.3.2,Release 18+,Enhancements for duplex evolution,"Discussion on SBFD random access configuration, RO validity rules, and SSB-RO mapping enhancements"
9.1.4.1,Rel-19,AI/ML for CSI Compression,"Study of AI/ML-based enhancements for CSI compression including performance-complexity tradeoffs, temporal domain aspects, and inter-vendor collaboration solutions"
9.11.1,Release 19,NR-NTN downlink coverage enhancement,"Discussion of physical layer enhancements for NTN downlink coverage including power sharing mechanisms, beam hopping strategies, and SSB periodicity extensions"
9.11.2,Rel-19,Support of RedCap and eRedCap UEs with NR NTN,Discussion on collision handling and TA reporting enhancements for HD-FDD NTN operation
5,Release 19,UL Synchronization for Msg3 Transmission,"Evaluation of Msg3 transmission without Msg1/Msg2 in IoT NTN, focusing on TA requirements and interference mitigation."
9.5.3,Release 19,Adaptation of common signal/channel transmissions,"Discussion on time-domain adaptation mechanisms for SSB/PRACH/paging signals, focusing on energy efficiency improvements while ensuring legacy UE compatibility through constraints on synchronization raster modifications and independent resource mapping."
9.4.2.2,Rel-19,Frame structure and timing aspects for Ambient IoT,"Discussion of synchronization mechanisms, frame structure design, and random access procedures optimized for ultra-low-power Ambient IoT devices."
9.6.2,Rel-19,LP-WUS Mechanisms,"Specification of LP-WUS procedures for IDLE/INACTIVE modes including synchronization, RRM relaxation, and signal configuration"
7,Rel-16/17/18,UCI multiplexing and PUSCH prioritization,Discussion on multiplexing mechanisms for uplink control information on shared channels
9.1.4.1,Release 19,Ambient IoT Solutions,Discussion of physical layer proposals for ultra-low power IoT devices in Release 19
9.2.4,Rel-19,Rel-19 asymmetric DL sTRP/UL mTRP,"Specification of enhancements for asymmetric DL single-TRP and UL multi-TRP deployments, including pathloss offset configurations, closed-loop power control for SRS, and TCI framework alignment."
8.9,Rel-18,Maintenance on IoT NTN enhancements,"Discussion and decision-making on maintenance items for IoT NTN enhancements including HARQ feedback configuration, GNSS validity management, and timing advance maintenance procedures"
9.6.1,Release 19,LP-WUS and LP-SS Design,"Discussion on waveform design, symbol rate configuration, channel bandwidth allocation, and sequence selection for low-power wake-up and synchronization signals in NR."
9.2.2,Rel-19,MIMO CSI Enhancements,Discussion on UE reporting enhancements for CJT deployments and CSI support for 128 ports
9.11.2,Rel-19,Half-Duplex RedCap Issues for NTN FR1 Operation,Discussion on collision mitigation strategies for HD-FDD RedCap devices in NTN networks considering TA mismatch challenges
9.2.3,Rel-19,Rel-19 3-antenna-port codebook-based transmissions,"Discussion on specifications for non-coherent UL codebook, UE capabilities, and SRS configurations to enable 3TX PUSCH transmissions in Rel-19."
9.5.3,Rel-19,Adaptation of common signal/channel transmissions,"Discussion of SSB/PRACH/paging adaptation techniques for network energy savings, including periodicity adjustment, spatial domain adaptation, and configuration signaling mechanisms"
9.11.1,Rel-19,NR-NTN Downlink Coverage Enhancement,"Study and specify downlink coverage enhancements for NTN, including SSB periodicity extension, power sharing between beams, and evaluation methodologies."
9.11.2,Rel-19,Support of RedCap and eRedCap UEs with NR-NTN,Study of HD-FDD collision handling rules adaptation for NTN scenarios with large TA mismatches
8.2,Release 18,SL-U Physical Channel Design Framework,"Discussion of physical layer enhancements for sidelink operation in unlicensed spectrum, including resource pool configurations, slot structures, and channel access mechanisms"
9.1.4.2,Rel-19,AI/ML for NR Air Interface,"Discussion on model identification procedures, UE data collection mechanisms, and model transfer standardization for AI/ML implementations"
9.4.1.2,Release 19,Discussion on Ambient IoT device architectures,"Technical discussion on architectures for Ambient IoT devices, including power consumption, modulation schemes, energy storage, and hardware design."
