doc_id,entity_name,context,frequency
R1-2404111,DCI Format 2_3,Extension of starting bit position for group common power control,2
R1-2401731,eRedCap UE,Applicability of RedCap CFR configurations,3
R1-2410122,TS 38.213,Target specification for parameter name correction,12
R1-2406580,R2D transmission,Midamble/postamble usage and control information-based termination,12
RAN1#119-Schedule,AI/ML,Machine learning for beam management and channel prediction,12
R1-2410297,DCI,Explicit 1-bit indication in DCI formats 0_1/1_1/0_2/1_2 for gap skipping,12
R1-2400429,CJT,Non-ideal synchronization impact analysis and calibration methods,42
R1-2407049,SSB,SSB periodicity extension analysis for coverage improvement,15
R1-240XXXX,NR-U,Coexistence evaluation with unlicensed spectrum operations,5
R1-2402123,EDT,Enhancements for Early Data Transmission efficiency,2
R1-2403693,FR2-NTN,Proposed physical layer modifications for satellite networks,15
R1-2404906,CSI-RS,Channel State Information Reference Signal configuration analysis,28
R1-2409768,L1-RSRP,Threshold-based triggering for UE-initiated beam reports,5
R1-2410817,Associated ID,Proposed solution for training/inference consistency,22
R1-2408867,CORESET,Repetition patterns for PDCCH coverage,8
R1-2402302,MAC CE,Candidate Cell TCI States Activation/Deactivation mechanism,5
R1-2401527,SRS,Core focus of the document discussing parameter enhancements,45
R1-2404162,TS 38.211,Modified specification for physical layer procedures,8
R1-2408521,Inter-UE Coordination Scheme-2,Applicability in resource pools with PSFCH configuration,5
R1-2405028,SL Type 1 Channel Access,Prerequisite feature group discussions for sidelink operation in unlicensed spectrum,12
R1-2402644,SL-U,Sidelink operation in unlicensed spectrum,8
R1-2403553,HARQ-ACK,Multiplexing behavior discussion,15
R1-2407429,DG PUSCH,Potential overriding of CG resources,9
R1-2410654,Associated ID,Discussed as potential solution for consistency in beam management but questioned for CSI prediction,12
R1-2405977,SGCS,Primary performance metric,15
R1-2410010,DCI 0_3/1_3,Core mechanism for multi-cell scheduling enhancements,15
R1-2404297,RRM,Measurement relaxation requirements,12
R1-2403361,NR-DC,Applicability of parallel Tx capabilities in CA+DC mixtures,12
R1-2408620,TS 38.213,Clause 16.1 correction,4
R1-2407615,Subgrouping,Mechanism to reduce false wake-ups through UE grouping in paging operations,23
R1-240xxxx,UCI Feedback,Handling of non-ideal uplink control information transmission,15
R1-2410781,SSB,Discussed in relation to dynamic activation patterns and UE measurement requirements,142
R1-2406399,Ambient IoT,Memory capability requirements discussion,8
R1-24xxxxx,TCI State,Adopted corrections to TS 38.212/213 specifications,8
R1-2408309,TR 38.843,Referenced for evaluation results of AI/ML positioning performance during R18 studies,2
R1-2406688,SBFD,Random access procedure enhancements in SBFD symbols,42
R1-2405253,eDRX,Configuration considerations for mobile-terminated communication,9
R1-2405330,Multi-TRP PUSCH Repetition,Rel-17 power control mechanisms for dual TRPs,8
R1-2402794,SRS,Sections 2.2-2.3 cover configuration and power control enhancements,18
R1-2407929,Timing Advance,TA pre-compensation for satellite service link delays,15
R1-2407407,CORESET,Resource allocation configurations,12
R1-2407119,OFDM,"Discussed as a candidate waveform for R2D transmissions, with considerations for CP handling.",15
R1-2404993,Sounding Reference Signal,Collision handling with DL signals in TDD systems,8
R1-2406169,PSSCH,Alignment of power control principles,5
R1-2405720,PTRS-DMRS Association,Clauses 7.3.1.1.2 and 7.3.1.1.3 specification updates,12
R1-2401998,Geometrical Theory of Diffraction,Used for modeling multiple scattering centers,2
R1-2410416,CP Alt M2-2,Proposed for standalone deployments to reduce complexity and improve spectral efficiency.,7
R1-2404265,Feature 45-1,Prerequisite for intra-frequency LTM,4
R1-2402601,TR38.901,Validation target for 7-24GHz channel characteristics,15
R1-2410523,SSB,Time-domain periodicity adaptation for energy savings,
R1-2410144,SL PRS,Transmission configuration index list design,5
R1-2406776,Frequency Diversity Gain,Achieved through two-tone CW configurations to mitigate fading.,5
R1-2407737,TDL-A Channel,Used as reference for coherence bandwidth calculation,2
R1-2402595,SBFD,Core technology for simultaneous UL/DL operation,58
R1-2407762,CW Signal,Energy harvesting and backscatter communication,15
R1-2403542,SSB,RO group association and beam management,18
R1-2401808,FG55-6h,PDCCH repetition enhancements for Rel-16 monitoring capability,4
R1-2403377,Xn Interface,Coordinated scheduling for SBFD configuration exchange,8
R1-2408683,DCI 1_3,Used for multi-cell PDSCH scheduling with mixed SCS configurations,15
R1-2408738,UE-Initiated Beam Management,Proposed enhancements for latency reduction,27
R1-2402634,PTRS,DMRS-PTRS association mechanisms for 3Tx configurations,12
R1-2401697,SUL,Carrier determination for PUCCH/PUSCH without dedicated configuration,42
R1-2409740,TR 38.901,Baseline channel model for ISAC extensions,8
R1-2407006,RACH,Transmission challenges during uplink extension periods,12
R1-2403441,Ray tracing,Complementary validation method proposed by NVIDIA,7
R1-2400123,LP-WUS,Waveform design using OOK with overlaid sequences,47
R1-2407372,Msg4,UE behavior for PDSCH reception under Rel-17 unified TCI,15
R1-2404242,TCI states,Unified TCI framework enhancements for UL mTRP scenarios,15
R1-2407235,SRS,SRS frequency hopping configuration for positioning,8
R1-2405077,Reflection Amplifier,Proposed for Device 2a to enable 10+ dB gain with sub-milliwatt power consumption.,8
R1-2408840,eType II Codebook,Performance comparison with ML-based CSI compression,8
R1-2402578,ISAC,Core technology for joint communication and sensing in 5G-A/6G,42
R1-2410461,SL-PRS RSRP,Inclusion in additional measurement reporting,3
R1-2409203,DMRS,Port mapping and layer constraints for non-codebook transmissions,12
R1-2402585,Energy Harvesting,Impact on transmission scheduling and payload segmentation,12
R1-2400430,TPMI,Indication framework reuse with two tables for maxRank=1 and maxRank≥2.,
R1-2405432,Reflection Amplifier,Device 2a component discussion with 15 company inputs,42
R1-2400844,Beam Failure Recovery,Model failure detection reference mechanism,3
R1-2409873,RO,RACH Occasion configuration in SBFD symbols,35
38.214 CR XXX,tp-pi2BPSK,Higher layer parameter configuration impact,5
R1-2403746,DMRS,Power boosting information discussion,7
R1-2401581,TS 38.214,Power control and TAG association rules,5
R1-2408350,SRS,Reused for 3Tx PUSCH with port 1003 muting,12
R1-2406085,TR 37.885,Vehicle-to-everything (V2X) communications,1
R1-240,ISAC,Channel modeling framework development,15
R1-2407611,Radio Frequency Energy Harvesting,Discussed as primary power source for Device 1 operation,12
R1-2400969,NGSO,Feasibility of soft switches in NGSO scenarios,5
R1-2401628,SRS,SRS slot configuration and hyper SFN alignment,35
R1-2410277,PDCCH,Link-level repetition techniques for CSS,10
R1-2410502,LC Oscillator,Core component of frequency calibration system,5
R1-2402358,SL PRS-CBR,Definition clarification for sidelink PRS channel busy ratio measurement,4
R1-2409180,MAC RAR,Mechanism for TAG ID association,3
R1-2404940,RF Envelope Detector,Component analysis for Type 1 devices,8
R1-2400669,PRACH,Spatial domain resource allocation optimization,8
R1-24xxxxx,URLLC,Layer parameter corrections in 38.212,4
R1-2407111,UE-Initiated Beam Management,Main topic of the document,27
R1-2406905,ISAC,Core technology discussed throughout document for joint communication-sensing systems,45
R1-2409386,CORESET,UE-dedicated reception configuration,3
R1-2400103,CSI,CJT codebook enhancements with R=2 SD basis vectors and UE capability signaling,12
R1-2410341,SRS,4-port resource muting and power splitting,12
R1-2407464,PRACH,Time offset configuration between repetition groups,
38.214 CR,intraCellGuardBandsSL-List,Higher layer parameter configuring intra-cell guard bands,3
R1-2409767,ISAC,Integrated sensing-communication system design,27
R1-2403362,2-step RACH,Confirmation of non-support for eRedCap in Rel-18,4
R1-2404325,OCC,Uplink capacity enhancement technique,45
R1-2401249,SBFD,Core technology for duplex evolution,87
R1-2407579,Ambient IoT,Study on solutions for IoT devices using ambient energy,3
R1-2410856,Type 1 SL CAP,Mandatory retransmission attempt requirement,8
R1-2403420,Carrier Phase Positioning,Defining center frequency for measurements,15
R1-2402775,LTE,Coexistence with NR in shared spectrum,15
R1-240XXXX,Transmission Reception Point,UL RSCP measurement procedures and time window extensions,8
R1-2402412,SL IUC,Support in co-channel coexistence without specification changes,4
R1-2404093,TCI-State,RS sets indicated by TCI-State for CORESETs,5
R1-2402736,TR 38.869,Baseline definitions for OOK-1/OOK-4,2
R1-2401115,TCI State,UL beam management and pathloss offset configuration,12
R1-2407205,NR-DL-PRS-MeasurementTimeWindowsConfig,Measurement window configuration for positioning signals,7
R1-2406391,EVM,Error Vector Magnitude evaluation metric,3
R1-2409886,NPRACH,Feasibility of symbol-group OCC multiplexing deprioritized,8
R1-2406498,Manchester coding,Coverage enhancement technique for LP-WUS,5
R1-2407510,cellSpecificKoffset,Key parameter for TN/NTN differentiation,8
R1-2406143,Ambient Internet of Things,Main subject of the technical contribution,
R1-2406893,Self-Interference Cancellation,RF/analog cancellation methods for monostatic readers,
R1-2407889,Msg 1/Msg 3,Advanced reception causing uplink interference,3
R1-2401148,C-DRX,Integration with LP-WUS monitoring to trigger PDCCH via drx-OnDurationTimer,8
38.212,nrOfReportedRS-PerCell,Corrected higher layer parameter for SSBRI/RSRP pairs,3
R1-2405493,DMRS Configuration,Comparison of TDM vs CDM approaches,18
R1-2407774,MIMO,Evolution supporting up to 128 CSI-RS ports for improved spectral efficiency.,15
R1-2406598,SBFD,Baseline configuration and measurement procedures,42
R1-2409704,Type I Codebook,64/48/128 port configurations with Scheme A/B,8
R1-2409831,SSB,Extended periodicity up to 160ms for initial access,15
R1-2404067,UL DAI,Key field for detecting DCI miss-detection and codebook alignment,10
R1-2407314,TCI-State Activation,Clarification of MAC-CE procedures for TCI state activation,12
R1-2402994,NPUSCH,Format 1 enhancements with OCC,5
R1-2401556,BWP,Indicator in activation DCI,2
R1-2410592,NR,Timing unit reference for AIoT adaptation,3
R1-2401378,NTN,Application scenario for RACH-less handover,8
R1-2404155,SRS,Frequency hopping configuration for positioning,15
R1-2410256,TS 38.331,Reference for RRC parameter definitions,1
R1-2409865,FDMA,Frequency allocation for Msg1 transmissions in random access,3
R1-2405760,MIMO,Core technology being enhanced through PHR clarifications,
R1-2403203,SSB,Existing synchronization signal block that can be used for LP-WUR synchronization,8
R1-2407998,Associated ID,Used to track NW-side condition consistency,15
R1-2406992,3GPP TS 38.213,Specification being amended,15
R1-2401297,AI/ML-based Beam Management,Primary use case discussed throughout document,42
R1-2409218,DCI format 0_3,Power control parameter set indication,6
R1-2407308,Beam Group Scaling,3-bit scaling factors for EIRP compliance in satellite coexistence,8
R1-2407961,Beam Management,Proposed enhancements for event-driven mechanisms,42
R1-2402850,Ray Tracing,Key enabler for accurate AI/ML model training in site-specific environments,8
R1-2403257,Dynamic Indication,DCI-based implicit/explicit gap skipping,15
R1-2402653,CSI Compression,Example use case for AI/ML model applications,8
R1-2409529,PUSCH Repetition Type A,Mandatory for NTN uplink coverage due to long propagation delays,18
R1-2409121,TR38.769,Technical Report for evaluation methodology,15
R1-2401914,PSFCH,Sequence generation and resource mapping corrections,
R1-2406183,SBFD,Core technology for Rel-19 duplex enhancements,15
R1-2407443,PRACH restrictedSetConfig,Required for preamble sequence generation in candidate cells,5
R1-2403066,TR38.901,Base channel model being extended,12
R1-2409361,SFBC,Proposed for improving spatial-frequency diversity at reader side,4
R1-2403124,PRACH,Proposed as UL wake-up signal for triggering SIB1,8
R1-2402971,Carrier Wave,Discussion of spectrum allocation and backscattering requirements,15
R1-2407882,NPRACH,UL resource requirements for random access,12
R1-2406634,S-SSB,Transmission efficiency in non-anchor RB sets,12
R1-2409325,TS 38.213,Referenced for CORESET configuration rules,5
R1-2400161,Unified TCI,Beam management framework for DL/UL spatial relationship maintenance,8
R1-2400343,XR,Main focus of the enhancement proposals,42
R1-2407838,TCI,Default state determination for PDSCH without TCI field in DCI,
R1-2401783,TCI States,Discussed in FL Proposals 5.3.3-v2 and 5.5.3-v3 regarding activation/deactivation rules and QCL configuration,27
Unknown,3GPP,Standardization body reference,1
R1-2402046,LP-WUS,Main subject of waveform design and performance evaluation,142
R1-2400565,Carrier Wave Node,Energy provision for passive backscatter devices,15
R1-2400000,NR,Maintenance and feature enhancements,15
R1-2403888,Manchester Encoding,Baseline encoding method for synchronization,8
R1-2408227,SSB,Extended periodicity (up to 640ms) proposed to reduce control channel overhead,8
R1-2403555,PMI,Precoding Matrix Indicator reporting for Type-I/II codebooks,15
R1-2410903,Timing Advance Command,Application time calculation ambiguity resolution,15
R1-2405759,Type-2 HARQ-ACK Codebook,Codebook generation procedure modifications,15
R1-2407085,SBFD,Core technology for enabling simultaneous UL/DL in non-overlapping subbands,42
R1-2402587,OFDM,Baseband generation of carrier waves,12
